Data si Ora	Minut	Secunda	EAR	Numar Clipiri	Rata Clipiri (clipiri/minut)
2024-11-20 12:48:54	48	54	0.47	0	0.0
2024-11-20 12:48:54	48	54	0.47	0	0.0
2024-11-20 12:48:54	48	54	0.46	0	0.0
2024-11-20 12:48:54	48	54	0.45	0	0.0
2024-11-20 12:48:54	48	54	0.46	0	0.0
2024-11-20 12:48:54	48	54	0.46	0	0.0
2024-11-20 12:48:54	48	54	0.46	0	0.0
2024-11-20 12:48:54	48	54	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.44	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.47	0	0.0
2024-11-20 12:48:55	48	55	0.47	0	0.0
2024-11-20 12:48:55	48	55	0.46	0	0.0
2024-11-20 12:48:55	48	55	0.48	0	0.0
2024-11-20 12:48:55	48	55	0.48	0	0.0
2024-11-20 12:48:55	48	55	0.48	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.45	0	0.0
2024-11-20 12:48:55	48	55	0.44	0	0.0
2024-11-20 12:48:55	48	55	0.44	0	0.0
2024-11-20 12:48:55	48	55	0.44	0	0.0
2024-11-20 12:48:55	48	55	0.44	0	0.0
2024-11-20 12:48:55	48	55	0.43	0	0.0
2024-11-20 12:48:55	48	55	0.43	0	0.0
2024-11-20 12:48:55	48	55	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.43	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.41	0	0.0
2024-11-20 12:48:56	48	56	0.42	0	0.0
2024-11-20 12:48:56	48	56	0.38	0	0.0
2024-11-20 12:48:57	48	57	0.29	0	0.0
2024-11-20 12:48:57	48	57	0.3	0	0.0
2024-11-20 12:48:57	48	57	0.36	0	0.0
2024-11-20 12:48:57	48	57	0.39	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.4	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
2024-11-20 12:48:57	48	57	0.41	0	0.0
